iter	Passed	Remaining
415	3058	2352
416	3065	2344
417	3071	2336
418	3078	2328
419	3085	2321
420	3091	2312
421	3097	2305
422	3104	2297
423	3111	2289
424	3118	2282
425	3125	2274
426	3132	2267
427	3139	2259
428	3146	2251
429	3152	2243
430	3159	2235
431	3166	2228
432	3172	2220
433	3179	2212
434	3185	2204
435	3192	2196
436	3199	2189
437	3205	2181
438	3212	2173
439	3219	2165
440	3226	2158
441	3232	2150
442	3239	2142
443	3247	2135
444	3253	2127
445	3260	2120
446	3267	2112
447	3274	2105
448	3281	2097
449	3288	2090
450	3295	2082
451	3301	2074
452	3308	2066
453	3314	2059
454	3321	2051
455	3328	2043
456	3334	2035
457	3341	2027
458	3347	2020
459	3354	2012
460	3361	2005
461	3367	1997
462	3374	1989
463	3380	1981
464	3387	1974
465	3393	1966
466	3400	1958
467	3407	1951
468	3414	1943
469	3421	1936
470	3427	1928
471	3434	1920
472	3441	1913
473	3448	1906
474	3455	1898
475	3462	1891
476	3469	1883
477	3476	1876
478	3482	1868
479	3489	1860
480	3496	1853
481	3503	1845
482	3510	1838
483	3516	1830
484	3523	1823
485	3530	1815
486	3537	1808
487	3544	1801
488	3550	1793
489	3557	1786
490	3564	1778
491	3571	1771
492	3578	1763
493	3584	1755
494	3591	1748
495	3597	1740
496	3605	1733
497	3611	1726
498	3618	1718
499	3625	1711
500	3631	1703
501	3638	1696
502	3645	1688
503	3652	1681
504	3658	1673
505	3665	1666
506	3673	1659
507	3680	1651
508	3688	1645
509	3696	1637
510	3704	1630
511	3711	1623
512	3720	1617
513	3729	1610
514	3736	1603
515	3745	1596
516	3753	1590
517	3761	1583
518	3770	1576
519	3778	1569
520	3787	1563
521	3798	1557
522	3808	1550
523	3818	1544
524	3828	1538
525	3837	1531
526	3846	1525
527	3855	1518
528	3864	1512
529	3873	1505
530	3882	1498
531	3891	1492
532	3900	1485
533	3908	1478
534	3916	1471
535	3931	1466
536	3940	1460
537	3948	1453
538	3956	1446
539	3964	1439
540	3972	1431
541	3979	1424
542	3988	1417
543	3995	1410
544	4002	1402
545	4009	1395
546	4017	1388
547	4025	1381
548	4033	1373
549	4041	1366
550	4048	1359
551	4056	1352
552	4064	1344
553	4071	1337
554	4079	1330
555	4088	1323
556	4096	1316
557	4103	1309
558	4110	1301
559	4117	1294
560	4124	1286
561	4132	1279
562	4139	1272
563	4147	1264
564	4154	1257
565	4162	1250
566	4169	1242
567	4177	1235
568	4184	1228
569	4192	1221
570	4200	1213
571	4208	1206
572	4215	1199
573	4223	1191
574	4231	1184
575	4238	1177
576	4246	1170
577	4254	1162
578	4261	1155
579	4270	1148
580	4277	1141
581	4285	1133
582	4292	1126
583	4300	1119
584	4308	1112
585	4316	1105
586	4324	1097
587	4331	1090
588	4339	1083
589	4347	1075
590	4354	1068
591	4362	1061
592	4371	1054
593	4381	1047
594	4392	1040
595	4400	1033
596	4409	1026
597	4418	1019
598	4425	1012
599	4434	1005
600	4441	997
601	4449	990
602	4457	983
603	4465	975
604	4473	968
605	4481	961
606	4489	954
607	4497	946
608	4505	939
609	4513	932
610	4520	924
611	4527	917
612	4534	909
613	4542	902
614	4549	895
615	4557	887
616	4564	880
617	4572	873
618	4580	865
619	4587	858
620	4594	850
621	4602	843
622	4610	836
623	4617	828
624	4625	821
625	4632	814
626	4641	806
627	4650	799
628	4658	792
629	4666	785
630	4674	777
631	4683	770
632	4690	763
633	4698	755
634	4706	748
635	4714	741
636	4723	734
637	4731	726
638	4738	719
639	4747	712
640	4755	704
641	4762	697
642	4770	689
643	4777	682
644	4785	675
645	4792	667
646	4799	660
647	4807	652
648	4814	645
649	4821	637
650	4829	630
651	4836	623
652	4844	615
653	4851	608
654	4857	600
655	4864	593
656	4870	585
657	4877	578
658	4883	570
659	4890	563
660	4897	555
661	4904	548
662	4910	540
663	4917	533
664	4923	525
665	4930	518
666	4936	510
667	4943	503
668	4949	495
669	4955	488
670	4961	480
671	4968	473
672	4974	465
673	4980	458
674	4986	450
675	4993	443
676	4999	435
677	5006	428
678	5012	420
679	5019	413
680	5026	405
681	5032	398
682	5038	391
683	5045	383
684	5052	376
685	5058	368
686	5064	361
687	5071	353
688	5078	346
689	5085	339
690	5092	331
691	5099	324
692	5105	316
693	5112	309
694	5119	302
695	5125	294
696	5132	287
697	5139	279
698	5145	272
699	5152	264
700	5159	257
701	5166	250
702	5173	242
703	5179	235
704	5186	228
705	5193	220
706	5199	213
707	5206	205
708	5213	198
709	5219	191
710	5226	183
711	5231	176
712	5238	168
713	5245	161
714	5251	154
715	5258	146
716	5264	139
717	5271	132
718	5277	124
719	5283	117
720	5289	110
721	5295	102
722	5301	95
723	5308	87
724	5314	80
725	5320	73
726	5327	65
727	5333	58
728	5339	51
729	5345	43
730	5351	36
731	5358	29
732	5364	21
733	5370	14
734	5376	7
735	5383	0
