iter	MultiClass
235	0.2444983958
236	0.2443153289
237	0.2439893843
238	0.2438037207
239	0.2435813726
240	0.2434162039
241	0.2432091048
242	0.2430629972
243	0.2428914422
244	0.2427109848
245	0.242511392
246	0.2424011693
247	0.2421938536
248	0.2420431508
249	0.2419016672
250	0.2417403309
251	0.2415272023
252	0.2414205097
253	0.24120908
254	0.2410267175
255	0.2408626771
256	0.240611543
257	0.2403860441
258	0.2401146598
259	0.2398836753
260	0.2397231093
261	0.2395585766
262	0.2392902615
263	0.2391555934
264	0.2389951873
265	0.2387841202
266	0.2385518976
267	0.2383543484
268	0.2382323847
269	0.2380125663
270	0.2378398653
271	0.2376813112
272	0.2375506727
273	0.2374261216
274	0.2372998207
275	0.2371628104
276	0.2369670479
277	0.2368990895
278	0.2367076996
279	0.2366020258
280	0.2364409263
281	0.2362194997
282	0.2359981424
283	0.2358282371
284	0.2356603879
285	0.2355265068
286	0.2354283563
287	0.2352984497
288	0.2351360808
289	0.2348325761
290	0.2346706608
291	0.234548346
292	0.2344033745
293	0.2342889908
294	0.234094856
295	0.2338676315
296	0.2337048464
297	0.2335033013
298	0.2333465825
299	0.2332226592
300	0.2331560355
301	0.2330042678
302	0.2327843466
303	0.2326507296
304	0.2324987388
305	0.2322887255
306	0.2321269431
307	0.2319495416
308	0.2318606699
309	0.2317545939
310	0.2316696291
311	0.2315023443
312	0.2313195782
313	0.2311170502
314	0.2309293628
315	0.2308166454
316	0.2306481554
317	0.2305583046
318	0.2304578296
319	0.2303476535
320	0.2302318876
321	0.2301237677
322	0.2300066412
323	0.2298542434
324	0.2297160885
325	0.2295438885
326	0.2293968398
327	0.2291376336
328	0.2289983424
329	0.2288662105
330	0.2287360642
331	0.2285827561
332	0.2284557946
333	0.2282632672
334	0.2281432501
335	0.2279291492
336	0.2277109474
337	0.2275731257
338	0.2273318461
339	0.2271837685
340	0.2269629472
341	0.2268173469
342	0.2266749868
343	0.2264720428
344	0.2263060182
345	0.2262147026
346	0.2261086342
347	0.2259867271
348	0.2259096163
349	0.2257588029
350	0.2256691664
351	0.225507296
352	0.2253340376
353	0.2251800613
354	0.2250274691
355	0.2248940568
356	0.2247428469
357	0.224595591
358	0.2244198484
359	0.2243170456
360	0.2242146028
361	0.2240543923
362	0.2239118762
363	0.2237649496
364	0.2236744857
365	0.223532523
366	0.2233919
367	0.2232132881
368	0.2230579958
369	0.2229401397
370	0.2227620075
371	0.222613069
372	0.2224344396
373	0.222319564
374	0.222215074
375	0.2220788
376	0.2220094232
377	0.2218636001
378	0.2217132072
379	0.2215412156
380	0.2214428706
381	0.2213712646
382	0.2212034336
383	0.2210479509
384	0.2209443
385	0.2207944657
386	0.220635114
387	0.2205175126
388	0.2203660753
389	0.220253933
390	0.2201460927
391	0.220047369
392	0.2198872765
393	0.2197284251
394	0.2195894325
395	0.2194720879
396	0.219318128
397	0.2192417483
398	0.2191299556
399	0.2189987789
400	0.2188374304
401	0.2187001948
402	0.2185428585
403	0.2184844774
404	0.2183782027
405	0.2182524351
406	0.2181132511
407	0.2179926229
408	0.217905013
409	0.2178466892
410	0.21777207
411	0.2176363436
412	0.2174460303
413	0.2173175473
414	0.2172122967
415	0.2170778164
416	0.2169418198
417	0.2168961489
418	0.2167651021
419	0.2166667862
420	0.2165801238
421	0.2164939489
422	0.2163978053
423	0.2162732706
424	0.2160750157
425	0.215939135
426	0.215821611
427	0.2156903775
428	0.2156236395
429	0.2155117395
430	0.2153548112
431	0.2152534096
432	0.2150868143
433	0.2149301369
434	0.2147428375
435	0.2145966229
436	0.2144899547
437	0.2144285784
438	0.2143175347
439	0.2141907
440	0.2140666522
441	0.2139947897
442	0.2139095594
443	0.2137493259
444	0.213594625
445	0.2134929418
446	0.2134214379
447	0.2132107681
448	0.2130459149
449	0.2129577855
450	0.2127547067
451	0.2127107018
452	0.2126361732
453	0.2125558415
454	0.2124550299
455	0.2123168752
456	0.2122304628
457	0.2121539038
458	0.2120143102
459	0.2118924456
460	0.2117629394
461	0.2116722799
462	0.2115764009
463	0.2114529909
464	0.2113707007
465	0.2112799286
466	0.2111406152
467	0.2110282967
468	0.2108452547
469	0.2107071209
470	0.2105374099
471	0.2103410652
472	0.2102210438
473	0.210114146
474	0.2100580558
475	0.2099447932
476	0.2098487909
477	0.2097051134
478	0.2096032954
479	0.2095018486
480	0.2093719847
481	0.2091893367
482	0.2090785135
483	0.2090106505
484	0.2088818041
485	0.2087679428
486	0.2086780946
487	0.2085482375
488	0.2084329764
489	0.2083273505
490	0.2082055457
491	0.2080945378
492	0.2079394377
493	0.2078428953
494	0.2077126618
495	0.2075955443
496	0.2075244445
497	0.2074001314
498	0.2073125112
499	0.207245729
500	0.2071690321
501	0.2070271868
502	0.2068955707
503	0.2067752904
504	0.2066997651
505	0.2066164964
506	0.2065277994
507	0.2064054586
508	0.206269221
509	0.2061597071
510	0.206043991
511	0.2059404467
512	0.2058439987
513	0.2057167089
514	0.2055774049
515	0.2054600593
516	0.2053549816
517	0.2052423084
518	0.2051506171
519	0.2050483095
520	0.2049645542
521	0.2048526876
522	0.2047919047
523	0.2046880411
524	0.2045506512
525	0.2044453713
526	0.2043389122
527	0.2042848371
528	0.2041717439
529	0.2040512132
530	0.2039269363
531	0.2038613663
532	0.2037741551
533	0.2036928241
534	0.2035673997
535	0.2034874138
536	0.2033196174
537	0.2032429654
538	0.2031039474
539	0.2030161321
540	0.2029093185
541	0.2028303626
542	0.2026706181
543	0.2025785296
544	0.202448834
545	0.2023583294
546	0.202306013
547	0.202187541
548	0.2021036214
549	0.2020462913
550	0.2019451869
551	0.2018917648
552	0.2017847423
553	0.2016692606
554	0.2015670663
555	0.2014682407
556	0.2013663846
557	0.2012545206
558	0.2011716923
559	0.2010597366
560	0.2009399894
561	0.2008507909
562	0.200724911
563	0.2006632727
564	0.2005299821
565	0.2004106872
566	0.200306992
567	0.2001870419
568	0.2000916854
569	0.2000101148
570	0.1999172261
571	0.1998165356
572	0.1996996009
573	0.1996189543
574	0.1995003795
575	0.1993945432
576	0.1992969911
577	0.1992145206
578	0.1991636659
579	0.1991159693
580	0.1990370297
581	0.1989832397
582	0.1988954731
583	0.1988036653
584	0.1987300164
585	0.1986391814
586	0.1984362861
587	0.1983897189
588	0.1982909603
589	0.1981943862
590	0.1980522085
591	0.1979640642
592	0.1978575572
593	0.1977713348
594	0.1976633461
595	0.1975969369
596	0.1974118663
597	0.1972616374
598	0.1971680074
599	0.197048969
600	0.1969442933
601	0.19683909
602	0.1967334842
603	0.196685144
604	0.1965737155
605	0.1964667264
606	0.1963171336
607	0.1962446978
608	0.1961552908
609	0.1960409215
610	0.1959577958
611	0.1958886285
612	0.1958061442
613	0.1956995222
614	0.1956339759
615	0.1955866911
616	0.1954930843
617	0.1954077557
618	0.1952548377
619	0.1951266278
620	0.1950082193
621	0.1949355167
622	0.1948885033
623	0.1948152539
624	0.1947092977
625	0.1946208184
626	0.1945510996
627	0.194378466
628	0.1943014689
629	0.1942109025
630	0.1940596216
631	0.1938721188
632	0.1937599302
633	0.19367682
634	0.1936114637
635	0.1935110224
636	0.193454034
637	0.1933297724
638	0.193276764
639	0.1932145642
640	0.1931057333
641	0.1930366425
642	0.192953511
643	0.1928506125
644	0.1928208297
645	0.1927606142
646	0.1926665595
647	0.1925114828
648	0.1924661558
649	0.1923638974
650	0.1922824425
651	0.1921860484
652	0.19209259
653	0.1919819526
654	0.1918725865
655	0.1918082989
656	0.1917610016
657	0.1917097181
658	0.191647316
659	0.1915743774
660	0.1915000189
661	0.1914320204
662	0.1913633317
663	0.1912587747
664	0.1911582076
665	0.1910622282
666	0.1910129235
667	0.1909277928
668	0.1908224189
669	0.1907517904
670	0.1906769687
671	0.190599494
672	0.1905321195
673	0.1904331306
674	0.1903256518
675	0.1902013588
676	0.1901185397
677	0.1899544771
678	0.1898618889
679	0.1898079479
680	0.1897596341
681	0.1896770718
682	0.1895874476
683	0.1895243891
684	0.1894523248
685	0.1893137953
686	0.1892322336
687	0.1891451024
688	0.189054197
689	0.1889749192
690	0.1888696623
691	0.1887299193
692	0.1886572402
693	0.1885656147
694	0.1884499395
695	0.1883385012
696	0.1881930842
697	0.1881431649
698	0.1880801177
699	0.1879719288
700	0.187865693
701	0.1877406097
702	0.1876330844
703	0.1875728281
704	0.1875017525
705	0.1874378519
706	0.1873172962
707	0.1872080423
708	0.1871104474
709	0.1870410465
710	0.1869777288
711	0.1868710794
712	0.1867903897
713	0.1866824601
714	0.1866016121
715	0.1864981937
716	0.18643595
717	0.1863570834
718	0.1862958132
719	0.186183658
720	0.1861366586
721	0.1860686533
722	0.1860081974
723	0.1859274037
724	0.1858635911
725	0.1857705624
726	0.1856862684
727	0.1856138005
728	0.185566083
729	0.1854681183
730	0.1853237735
731	0.1852695116
732	0.1851878927
733	0.1851206864
734	0.1850683306
735	0.1849867248
